REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINCOABGD,1,2023,6.9
GLOBAL,MINCOABGD,1,2024,5.6
GLOBAL,MINCOABGD,1,2025,4.3
GLOBAL,MINCOABGD,1,2026,4.28
GLOBAL,MINCOABGD,1,2027,4.26
GLOBAL,MINCOABGD,1,2028,4.24
GLOBAL,MINCOABGD,1,2029,4.22
GLOBAL,MINCOABGD,1,2030,4.2
GLOBAL,MINCOABGD,1,2031,4.2
GLOBAL,MINCOABGD,1,2032,4.2
GLOBAL,MINCOABGD,1,2033,4.2
GLOBAL,MINCOABGD,1,2034,4.2
GLOBAL,MINCOABGD,1,2035,4.2
GLOBAL,MINCOABGD,1,2036,4.2
GLOBAL,MINCOABGD,1,2037,4.2
GLOBAL,MINCOABGD,1,2038,4.2
GLOBAL,MINCOABGD,1,2039,4.2
GLOBAL,MINCOABGD,1,2040,4.2
GLOBAL,MINCOABGD,1,2041,4.2
GLOBAL,MINCOABGD,1,2042,4.2
GLOBAL,MINCOABGD,1,2043,4.2
GLOBAL,MINCOABGD,1,2044,4.2
GLOBAL,MINCOABGD,1,2045,4.2
GLOBAL,MINCOABGD,1,2046,4.2
GLOBAL,MINCOABGD,1,2047,4.2
GLOBAL,MINCOABGD,1,2048,4.2
GLOBAL,MINCOABGD,1,2049,4.2
GLOBAL,MINCOABGD,1,2050,4.2
GLOBAL,MINCOABTN,1,2023,6.9
GLOBAL,MINCOABTN,1,2024,5.6
GLOBAL,MINCOABTN,1,2025,4.3
GLOBAL,MINCOABTN,1,2026,4.28
GLOBAL,MINCOABTN,1,2027,4.26
GLOBAL,MINCOABTN,1,2028,4.24
GLOBAL,MINCOABTN,1,2029,4.22
GLOBAL,MINCOABTN,1,2030,4.2
GLOBAL,MINCOABTN,1,2031,4.2
GLOBAL,MINCOABTN,1,2032,4.2
GLOBAL,MINCOABTN,1,2033,4.2
GLOBAL,MINCOABTN,1,2034,4.2
GLOBAL,MINCOABTN,1,2035,4.2
GLOBAL,MINCOABTN,1,2036,4.2
GLOBAL,MINCOABTN,1,2037,4.2
GLOBAL,MINCOABTN,1,2038,4.2
GLOBAL,MINCOABTN,1,2039,4.2
GLOBAL,MINCOABTN,1,2040,4.2
GLOBAL,MINCOABTN,1,2041,4.2
GLOBAL,MINCOABTN,1,2042,4.2
GLOBAL,MINCOABTN,1,2043,4.2
GLOBAL,MINCOABTN,1,2044,4.2
GLOBAL,MINCOABTN,1,2045,4.2
GLOBAL,MINCOABTN,1,2046,4.2
GLOBAL,MINCOABTN,1,2047,4.2
GLOBAL,MINCOABTN,1,2048,4.2
GLOBAL,MINCOABTN,1,2049,4.2
GLOBAL,MINCOABTN,1,2050,4.2
GLOBAL,MINCOAIND,1,2023,2.2
GLOBAL,MINCOAIND,1,2024,2.2
GLOBAL,MINCOAIND,1,2025,2.2
GLOBAL,MINCOAIND,1,2026,2.24
GLOBAL,MINCOAIND,1,2027,2.28
GLOBAL,MINCOAIND,1,2028,2.32
GLOBAL,MINCOAIND,1,2029,2.36
GLOBAL,MINCOAIND,1,2030,2.4
GLOBAL,MINCOAIND,1,2031,2.42
GLOBAL,MINCOAIND,1,2032,2.44
GLOBAL,MINCOAIND,1,2033,2.46
GLOBAL,MINCOAIND,1,2034,2.48
GLOBAL,MINCOAIND,1,2035,2.5
GLOBAL,MINCOAIND,1,2036,2.52
GLOBAL,MINCOAIND,1,2037,2.54
GLOBAL,MINCOAIND,1,2038,2.56
GLOBAL,MINCOAIND,1,2039,2.58
GLOBAL,MINCOAIND,1,2040,2.6
GLOBAL,MINCOAIND,1,2041,2.62
GLOBAL,MINCOAIND,1,2042,2.64
GLOBAL,MINCOAIND,1,2043,2.66
GLOBAL,MINCOAIND,1,2044,2.68
GLOBAL,MINCOAIND,1,2045,2.7
GLOBAL,MINCOAIND,1,2046,2.72
GLOBAL,MINCOAIND,1,2047,2.74
GLOBAL,MINCOAIND,1,2048,2.76
GLOBAL,MINCOAIND,1,2049,2.78
GLOBAL,MINCOAIND,1,2050,2.8
GLOBAL,MINCOAINT,1,2023,7.664
GLOBAL,MINCOAINT,1,2024,7.664
GLOBAL,MINCOAINT,1,2025,7.664
GLOBAL,MINCOAINT,1,2026,7.664
GLOBAL,MINCOAINT,1,2027,7.664
GLOBAL,MINCOAINT,1,2028,7.664
GLOBAL,MINCOAINT,1,2029,7.664
GLOBAL,MINCOAINT,1,2030,7.664
GLOBAL,MINCOAINT,1,2031,7.664
GLOBAL,MINCOAINT,1,2032,7.664
GLOBAL,MINCOAINT,1,2033,7.664
GLOBAL,MINCOAINT,1,2034,7.664
GLOBAL,MINCOAINT,1,2035,7.664
GLOBAL,MINCOAINT,1,2036,7.664
GLOBAL,MINCOAINT,1,2037,7.664
GLOBAL,MINCOAINT,1,2038,7.664
GLOBAL,MINCOAINT,1,2039,7.664
GLOBAL,MINCOAINT,1,2040,7.664
GLOBAL,MINCOAINT,1,2041,7.664
GLOBAL,MINCOAINT,1,2042,7.664
GLOBAL,MINCOAINT,1,2043,7.664
GLOBAL,MINCOAINT,1,2044,7.664
GLOBAL,MINCOAINT,1,2045,7.664
GLOBAL,MINCOAINT,1,2046,7.664
GLOBAL,MINCOAINT,1,2047,7.664
GLOBAL,MINCOAINT,1,2048,7.664
GLOBAL,MINCOAINT,1,2049,7.664
GLOBAL,MINCOAINT,1,2050,7.664
GLOBAL,MINCOALKA,1,2023,6.9
GLOBAL,MINCOALKA,1,2024,5.6
GLOBAL,MINCOALKA,1,2025,4.3
GLOBAL,MINCOALKA,1,2026,4.28
GLOBAL,MINCOALKA,1,2027,4.26
GLOBAL,MINCOALKA,1,2028,4.24
GLOBAL,MINCOALKA,1,2029,4.22
GLOBAL,MINCOALKA,1,2030,4.2
GLOBAL,MINCOALKA,1,2031,4.2
GLOBAL,MINCOALKA,1,2032,4.2
GLOBAL,MINCOALKA,1,2033,4.2
GLOBAL,MINCOALKA,1,2034,4.2
GLOBAL,MINCOALKA,1,2035,4.2
GLOBAL,MINCOALKA,1,2036,4.2
GLOBAL,MINCOALKA,1,2037,4.2
GLOBAL,MINCOALKA,1,2038,4.2
GLOBAL,MINCOALKA,1,2039,4.2
GLOBAL,MINCOALKA,1,2040,4.2
GLOBAL,MINCOALKA,1,2041,4.2
GLOBAL,MINCOALKA,1,2042,4.2
GLOBAL,MINCOALKA,1,2043,4.2
GLOBAL,MINCOALKA,1,2044,4.2
GLOBAL,MINCOALKA,1,2045,4.2
GLOBAL,MINCOALKA,1,2046,4.2
GLOBAL,MINCOALKA,1,2047,4.2
GLOBAL,MINCOALKA,1,2048,4.2
GLOBAL,MINCOALKA,1,2049,4.2
GLOBAL,MINCOALKA,1,2050,4.2
GLOBAL,MINCOAMDV,1,2023,6.9
GLOBAL,MINCOAMDV,1,2024,5.6
GLOBAL,MINCOAMDV,1,2025,4.3
GLOBAL,MINCOAMDV,1,2026,4.28
GLOBAL,MINCOAMDV,1,2027,4.26
GLOBAL,MINCOAMDV,1,2028,4.24
GLOBAL,MINCOAMDV,1,2029,4.22
GLOBAL,MINCOAMDV,1,2030,4.2
GLOBAL,MINCOAMDV,1,2031,4.2
GLOBAL,MINCOAMDV,1,2032,4.2
GLOBAL,MINCOAMDV,1,2033,4.2
GLOBAL,MINCOAMDV,1,2034,4.2
GLOBAL,MINCOAMDV,1,2035,4.2
GLOBAL,MINCOAMDV,1,2036,4.2
GLOBAL,MINCOAMDV,1,2037,4.2
GLOBAL,MINCOAMDV,1,2038,4.2
GLOBAL,MINCOAMDV,1,2039,4.2
GLOBAL,MINCOAMDV,1,2040,4.2
GLOBAL,MINCOAMDV,1,2041,4.2
GLOBAL,MINCOAMDV,1,2042,4.2
GLOBAL,MINCOAMDV,1,2043,4.2
GLOBAL,MINCOAMDV,1,2044,4.2
GLOBAL,MINCOAMDV,1,2045,4.2
GLOBAL,MINCOAMDV,1,2046,4.2
GLOBAL,MINCOAMDV,1,2047,4.2
GLOBAL,MINCOAMDV,1,2048,4.2
GLOBAL,MINCOAMDV,1,2049,4.2
GLOBAL,MINCOAMDV,1,2050,4.2
GLOBAL,MINCOANPL,1,2023,6.9
GLOBAL,MINCOANPL,1,2024,5.6
GLOBAL,MINCOANPL,1,2025,4.3
GLOBAL,MINCOANPL,1,2026,4.28
GLOBAL,MINCOANPL,1,2027,4.26
GLOBAL,MINCOANPL,1,2028,4.24
GLOBAL,MINCOANPL,1,2029,4.22
GLOBAL,MINCOANPL,1,2030,4.2
GLOBAL,MINCOANPL,1,2031,4.2
GLOBAL,MINCOANPL,1,2032,4.2
GLOBAL,MINCOANPL,1,2033,4.2
GLOBAL,MINCOANPL,1,2034,4.2
GLOBAL,MINCOANPL,1,2035,4.2
GLOBAL,MINCOANPL,1,2036,4.2
GLOBAL,MINCOANPL,1,2037,4.2
GLOBAL,MINCOANPL,1,2038,4.2
GLOBAL,MINCOANPL,1,2039,4.2
GLOBAL,MINCOANPL,1,2040,4.2
GLOBAL,MINCOANPL,1,2041,4.2
GLOBAL,MINCOANPL,1,2042,4.2
GLOBAL,MINCOANPL,1,2043,4.2
GLOBAL,MINCOANPL,1,2044,4.2
GLOBAL,MINCOANPL,1,2045,4.2
GLOBAL,MINCOANPL,1,2046,4.2
GLOBAL,MINCOANPL,1,2047,4.2
