PARAMETER,Scenario,REGION,YEAR,Value
ReserveMargin,B_Optimised_VRE,GLOBAL,2023,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2024,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2025,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2026,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2027,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2028,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2029,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2030,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2031,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2032,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2033,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2034,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2035,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2036,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2037,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2038,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2039,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2040,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2041,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2042,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2043,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2044,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2045,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2046,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2047,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2048,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2049,1.15
ReserveMargin,B_Optimised_VRE,GLOBAL,2050,1.15
