PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S1D1,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S1D2,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S1D3,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S1D4,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S1D5,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S2D1,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S2D2,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S2D3,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S2D4,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S2D5,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S3D1,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S3D2,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S3D3,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S3D4,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S3D5,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S4D1,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S4D2,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S4D3,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S4D4,,1,,,1
Conversionld,B_Opt_SolarCapexSpike,,,,,,,S4D5,,1,,,1
