timeslice,season,daypart,demand_fraction,yearsplit
S1D1,Winter (Dec-Feb),Night (00-06),0.057284,0.061644
S1D2,Winter (Dec-Feb),Solar day (06-17),0.134254,0.113014
S1D3,Winter (Dec-Feb),Evening peak (17-20),0.035122,0.030822
S1D4,Winter (Dec-Feb),Late evening (20-22),0.020769,0.020548
S1D5,Winter (Dec-Feb),Late night (22-24),0.019888,0.020548
S2D1,Pre-monsoon (Mar-May),Night (00-06),0.074776,0.063014
S2D2,Pre-monsoon (Mar-May),Solar day (06-17),0.148193,0.115525
S2D3,Pre-monsoon (Mar-May),Evening peak (17-20),0.039923,0.031507
S2D4,Pre-monsoon (Mar-May),Late evening (20-22),0.025602,0.021005
S2D5,Pre-monsoon (Mar-May),Late night (22-24),0.025810,0.021005
S3D1,SW Monsoon (Jun-Sep),Night (00-06),0.068021,0.083562
S3D2,SW Monsoon (Jun-Sep),Solar day (06-17),0.132602,0.153196
S3D3,SW Monsoon (Jun-Sep),Evening peak (17-20),0.036434,0.041781
S3D4,SW Monsoon (Jun-Sep),Late evening (20-22),0.023941,0.027854
S3D5,SW Monsoon (Jun-Sep),Late night (22-24),0.023795,0.027854
S4D1,Post-monsoon (Oct-Nov),Night (00-06),0.030439,0.041781
S4D2,Post-monsoon (Oct-Nov),Solar day (06-17),0.064627,0.076598
S4D3,Post-monsoon (Oct-Nov),Evening peak (17-20),0.017445,0.020890
S4D4,Post-monsoon (Oct-Nov),Late evening (20-22),0.010545,0.013927
S4D5,Post-monsoon (Oct-Nov),Late night (22-24),0.010529,0.013927
