timeslice,season,daypart,tech_code,tech_type,cf_dispatch,cf_ninja,cf_da_workbook,cf_default,source_notes
S3D3,SW Monsoon (Jun-Sep),Evening peak (17-20),PWRSPVMDVXX,Solar,,0.011554,0.170400,,GHI-scaled seasonal + Ninja
S3D3,SW Monsoon (Jun-Sep),Evening peak (17-20),PWRWONMDVXX,Wind,,0.244943,,,Ninja (1.5 MW installed)
S3D4,SW Monsoon (Jun-Sep),Late evening (20-22),PWRDSLMDVXX,Diesel,,,,1.0,thermal default CF=1.0; CF=1.0 (dispatchable)
S3D4,SW Monsoon (Jun-Sep),Late evening (20-22),PWRSPVMDVXX,Solar,,0.000000,0.000000,,GHI-scaled seasonal + Ninja
S3D4,SW Monsoon (Jun-Sep),Late evening (20-22),PWRWONMDVXX,Wind,,0.226326,,,Ninja (1.5 MW installed)
S3D5,SW Monsoon (Jun-Sep),Late night (22-24),PWRDSLMDVXX,Diesel,,,,1.0,thermal default CF=1.0; CF=1.0 (dispatchable)
S3D5,SW Monsoon (Jun-Sep),Late night (22-24),PWRSPVMDVXX,Solar,,0.000000,0.000000,,GHI-scaled seasonal + Ninja
S3D5,SW Monsoon (Jun-Sep),Late night (22-24),PWRWONMDVXX,Wind,,0.218020,,,Ninja (1.5 MW installed)
S4D1,Post-monsoon (Oct-Nov),Night (00-06),PWRDSLMDVXX,Diesel,,,,1.0,thermal default CF=1.0; CF=1.0 (dispatchable)
S4D1,Post-monsoon (Oct-Nov),Night (00-06),PWRSPVMDVXX,Solar,,0.000000,0.000000,,GHI-scaled seasonal + Ninja
S4D1,Post-monsoon (Oct-Nov),Night (00-06),PWRWONMDVXX,Wind,,0.309343,,,Ninja (1.5 MW installed)
S4D2,Post-monsoon (Oct-Nov),Solar day (06-17),PWRDSLMDVXX,Diesel,,,,1.0,thermal default CF=1.0; CF=1.0 (dispatchable)
S4D2,Post-monsoon (Oct-Nov),Solar day (06-17),PWRSPVMDVXX,Solar,,0.334989,0.172900,,GHI-scaled seasonal + Ninja
S4D2,Post-monsoon (Oct-Nov),Solar day (06-17),PWRWONMDVXX,Wind,,0.313106,,,Ninja (1.5 MW installed)
S4D3,Post-monsoon (Oct-Nov),Evening peak (17-20),PWRDSLMDVXX,Diesel,,,,1.0,thermal default CF=1.0; CF=1.0 (dispatchable)
S4D3,Post-monsoon (Oct-Nov),Evening peak (17-20),PWRSPVMDVXX,Solar,,0.011070,0.172900,,GHI-scaled seasonal + Ninja
S4D3,Post-monsoon (Oct-Nov),Evening peak (17-20),PWRWONMDVXX,Wind,,0.322350,,,Ninja (1.5 MW installed)
S4D4,Post-monsoon (Oct-Nov),Late evening (20-22),PWRDSLMDVXX,Diesel,,,,1.0,thermal default CF=1.0; CF=1.0 (dispatchable)
S4D4,Post-monsoon (Oct-Nov),Late evening (20-22),PWRSPVMDVXX,Solar,,0.000000,0.000000,,GHI-scaled seasonal + Ninja
S4D4,Post-monsoon (Oct-Nov),Late evening (20-22),PWRWONMDVXX,Wind,,0.295360,,,Ninja (1.5 MW installed)
S4D5,Post-monsoon (Oct-Nov),Late night (22-24),PWRDSLMDVXX,Diesel,,,,1.0,thermal default CF=1.0; CF=1.0 (dispatchable)
S4D5,Post-monsoon (Oct-Nov),Late night (22-24),PWRSPVMDVXX,Solar,,0.000000,0.000000,,GHI-scaled seasonal + Ninja
S4D5,Post-monsoon (Oct-Nov),Late night (22-24),PWRWONMDVXX,Wind,,0.287216,,,Ninja (1.5 MW installed)
