REGION,STORAGE,SEASON,DAYTYPE,DAILYTIMEBRACKET,YEAR,VALUE
GLOBAL,LDSINDEA01,1,1,1,2035,-1.0443221608026223e-07
GLOBAL,LDSINDEA01,1,1,1,2044,4.235318983105623e-07
GLOBAL,LDSINDEA01,1,1,5,2035,1.044322160802622e-07
GLOBAL,LDSINDEA01,2,1,1,2033,4.1432375105228165e-07
GLOBAL,LDSINDEA01,2,1,1,2038,0.01943992224
GLOBAL,LDSINDEA01,2,1,1,2039,-1.0443235913698309e-07
GLOBAL,LDSINDEA01,2,1,2,2031,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2032,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2033,0.01944
GLOBAL,LDSINDEA01,2,1,2,2034,0.0194404143258406
GLOBAL,LDSINDEA01,2,1,2,2035,0.0194398955677736
GLOBAL,LDSINDEA01,2,1,2,2036,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2037,0.0194399999999936
GLOBAL,LDSINDEA01,2,1,2,2039,0.01944
GLOBAL,LDSINDEA01,2,1,2,2040,0.01944
GLOBAL,LDSINDEA01,2,1,2,2041,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2042,0.01944
GLOBAL,LDSINDEA01,2,1,2,2043,0.01944
GLOBAL,LDSINDEA01,2,1,2,2044,0.01944
GLOBAL,LDSINDEA01,2,1,2,2045,0.0194399999998764
GLOBAL,LDSINDEA01,2,1,2,2046,0.0194399999999999
GLOBAL,LDSINDEA01,2,1,2,2047,0.01944
GLOBAL,LDSINDEA01,2,1,2,2048,0.01944
GLOBAL,LDSINDEA01,2,1,2,2049,0.0194404143258406
GLOBAL,LDSINDEA01,2,1,2,2050,0.0194404143258406
GLOBAL,LDSINDEA01,2,1,4,2031,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2032,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2033,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2034,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2035,-0.0194398955677736
GLOBAL,LDSINDEA01,2,1,4,2036,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2037,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2038,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2039,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2040,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2041,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2042,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2043,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2044,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2045,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2046,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2047,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2048,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2049,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,4,2050,-0.0194399999999999
GLOBAL,LDSINDEA01,2,1,5,2038,7.77599999993682e-08
GLOBAL,LDSINDEA01,2,1,5,2039,1.0443235913467012e-07
GLOBAL,LDSINDEA01,2,1,5,2040,4.1431701032407547e-07
GLOBAL,LDSINDEA01,2,1,5,2042,4.143170103265765e-07
GLOBAL,LDSINDEA01,2,1,5,2043,4.1431703822554483e-07
GLOBAL,LDSINDEA01,2,1,5,2048,4.1431703822554483e-07
GLOBAL,LDSINDEA01,3,1,1,2038,0.0010108184863133
GLOBAL,LDSINDEA01,3,1,1,2044,1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,1,2045,1.0443269498131015e-07
GLOBAL,LDSINDEA01,3,1,2,2031,3.1244283627000533e-07
GLOBAL,LDSINDEA01,3,1,2,2037,1.0443278898807805e-07
GLOBAL,LDSINDEA01,3,1,2,2038,-0.0010108165266129
GLOBAL,LDSINDEA01,3,1,2,2046,3.1244283627000533e-07
GLOBAL,LDSINDEA01,3,1,3,2032,3.124410240158023e-07
GLOBAL,LDSINDEA01,3,1,3,2038,-1.959700463320321e-09
GLOBAL,LDSINDEA01,3,1,3,2045,2.0800842221065097e-07
GLOBAL,LDSINDEA01,3,1,4,2035,3.124391897866812e-07
GLOBAL,LDSINDEA01,3,1,4,2036,3.1244089904181885e-07
GLOBAL,LDSINDEA01,3,1,4,2039,3.124396177813545e-07
GLOBAL,LDSINDEA01,3,1,4,2041,3.124408990393927e-07
GLOBAL,LDSINDEA01,3,1,4,2047,1.0443277933534865e-07
GLOBAL,LDSINDEA01,3,1,5,2037,2.0800876232784506e-07
GLOBAL,LDSINDEA01,3,1,5,2044,-1.0443278739523387e-07
GLOBAL,LDSINDEA01,3,1,5,2047,2.0800809559191165e-07
GLOBAL,LDSINDEA01,4,1,1,2038,0.0194399999999999
GLOBAL,LDSINDEA01,4,1,3,2038,-0.0194399999999999
GLOBAL,LDSINDNO01,1,1,2,2033,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2034,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2035,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2036,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2037,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2038,0.036
GLOBAL,LDSINDNO01,1,1,2,2039,0.036
GLOBAL,LDSINDNO01,1,1,2,2040,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2041,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2042,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2043,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2044,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2045,0.036
GLOBAL,LDSINDNO01,1,1,2,2046,0.036
GLOBAL,LDSINDNO01,1,1,2,2047,0.0359998130631519
GLOBAL,LDSINDNO01,1,1,2,2048,0.036
GLOBAL,LDSINDNO01,1,1,2,2049,0.0359999999999999
GLOBAL,LDSINDNO01,1,1,2,2050,0.036000144001152
GLOBAL,LDSINDNO01,1,1,3,2033,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2034,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2035,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2036,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2037,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2038,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2039,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2040,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2041,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2042,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2043,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2044,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2045,-0.0360001869383617
GLOBAL,LDSINDNO01,1,1,3,2046,-0.0360001869371806
GLOBAL,LDSINDNO01,1,1,3,2047,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2048,-0.0359999935441879
GLOBAL,LDSINDNO01,1,1,3,2049,-0.0359999999999999
GLOBAL,LDSINDNO01,1,1,3,2050,-0.036000144001152
GLOBAL,LDSINDNO01,1,1,5,2045,1.8693836171904695e-07
GLOBAL,LDSINDNO01,1,1,5,2046,1.8693718069540758e-07
GLOBAL,LDSINDNO01,1,1,5,2047,1.8693684808783994e-07
GLOBAL,LDSINDNO01,1,1,5,2048,-6.455812056717049e-09
GLOBAL,LDSINDNO01,2,1,1,2035,-6.455812696926077e-09
GLOBAL,LDSINDNO01,2,1,1,2041,-1.933932576650421e-07
GLOBAL,LDSINDNO01,2,1,1,2042,-6.455812696926077e-09
GLOBAL,LDSINDNO01,2,1,2,2031,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2,2032,0.036
GLOBAL,LDSINDNO01,2,1,2,2033,0.0359999935441873
GLOBAL,LDSINDNO01,2,1,2,2034,0.0359999935441873
GLOBAL,LDSINDNO01,2,1,2,2035,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2,2036,0.0359999935441873
GLOBAL,LDSINDNO01,2,1,2,2037,0.0359999935441873
GLOBAL,LDSINDNO01,2,1,2,2038,0.0359998066069881
GLOBAL,LDSINDNO01,2,1,2,2039,0.0359998495441873
GLOBAL,LDSINDNO01,2,1,2,2040,0.0359998495441873
GLOBAL,LDSINDNO01,2,1,2,2041,0.036
GLOBAL,LDSINDNO01,2,1,2,2042,0.036
GLOBAL,LDSINDNO01,2,1,2,2043,0.0359999935441873
GLOBAL,LDSINDNO01,2,1,2,2044,0.0359998066069881
GLOBAL,LDSINDNO01,2,1,2,2045,0.0359998066058071
GLOBAL,LDSINDNO01,2,1,2,2046,0.0359998066069881
GLOBAL,LDSINDNO01,2,1,2,2047,0.0359995186050502
GLOBAL,LDSINDNO01,2,1,2,2048,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2,2049,0.0359999999999999
GLOBAL,LDSINDNO01,2,1,2,2050,0.036000288002304
GLOBAL,LDSINDNO01,2,1,3,2035,-0.0104706324313467
GLOBAL,LDSINDNO01,2,1,3,2045,2.880023040122137e-07
GLOBAL,LDSINDNO01,2,1,3,2047,2.880023040191526e-07
GLOBAL,LDSINDNO01,2,1,4,2031,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2032,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2033,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2034,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2035,-0.0255293611128405
GLOBAL,LDSINDNO01,2,1,4,2036,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2037,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2038,-0.0359999999999924
GLOBAL,LDSINDNO01,2,1,4,2039,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2040,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2041,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2042,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2043,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2044,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2045,-0.036000288002304
GLOBAL,LDSINDNO01,2,1,4,2046,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2047,-0.036000288002304
GLOBAL,LDSINDNO01,2,1,4,2048,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2049,-0.0359999999999999
GLOBAL,LDSINDNO01,2,1,4,2050,-0.036000288002304
GLOBAL,LDSINDNO01,2,1,5,2033,6.455812696926076e-09
GLOBAL,LDSINDNO01,2,1,5,2034,6.4558126981814615e-09
GLOBAL,LDSINDNO01,2,1,5,2036,6.455812696926077e-09
GLOBAL,LDSINDNO01,2,1,5,2037,6.4558126981814615e-09
GLOBAL,LDSINDNO01,2,1,5,2038,1.9339300425188042e-07
GLOBAL,LDSINDNO01,2,1,5,2039,1.5045581269822748e-07
GLOBAL,LDSINDNO01,2,1,5,2040,1.5045581269919337e-07
GLOBAL,LDSINDNO01,2,1,5,2041,1.933932576601844e-07
GLOBAL,LDSINDNO01,2,1,5,2042,6.455812696926076e-09
GLOBAL,LDSINDNO01,2,1,5,2043,6.455812696926076e-09
GLOBAL,LDSINDNO01,2,1,5,2044,1.9339301181989767e-07
GLOBAL,LDSINDNO01,2,1,5,2045,1.9339419285241105e-07
GLOBAL,LDSINDNO01,2,1,5,2046,1.9339301181989767e-07
GLOBAL,LDSINDNO01,2,1,5,2047,4.813949497215547e-07
GLOBAL,LDSINDNO01,3,1,1,2031,0.0254780231397839
GLOBAL,LDSINDNO01,3,1,1,2032,0.025477726038611
GLOBAL,LDSINDNO01,3,1,1,2033,0.0221477835315809
GLOBAL,LDSINDNO01,3,1,1,2034,0.0221480806311551
GLOBAL,LDSINDNO01,3,1,1,2036,0.0221480806311551
GLOBAL,LDSINDNO01,3,1,1,2037,0.022148080632487
GLOBAL,LDSINDNO01,3,1,1,2038,0.0221470721601498
GLOBAL,LDSINDNO01,3,1,1,2039,0.0221472355539224
GLOBAL,LDSINDNO01,3,1,1,2040,0.0221472355530276
GLOBAL,LDSINDNO01,3,1,1,2041,0.0221471989694986
GLOBAL,LDSINDNO01,3,1,1,2042,0.0221477877647522
GLOBAL,LDSINDNO01,3,1,1,2043,0.0221480806311551
GLOBAL,LDSINDNO01,3,1,1,2044,0.0221470721618172
GLOBAL,LDSINDNO01,3,1,1,2045,0.0221475832422584
GLOBAL,LDSINDNO01,3,1,1,2046,0.02214699553042
GLOBAL,LDSINDNO01,3,1,1,2047,0.0221468911001363
GLOBAL,LDSINDNO01,3,1,1,2048,0.0221478084266883
GLOBAL,LDSINDNO01,3,1,1,2049,0.0221478080990562
GLOBAL,LDSINDNO01,3,1,1,2050,0.0221478459181966
GLOBAL,LDSINDNO01,3,1,2,2031,-0.0254778297457332
GLOBAL,LDSINDNO01,3,1,2,2032,-0.0254775326445603
GLOBAL,LDSINDNO01,3,1,2,2033,-0.0221475965933776
GLOBAL,LDSINDNO01,3,1,2,2034,-0.0221478936929518
GLOBAL,LDSINDNO01,3,1,2,2036,-0.0221478936929518
GLOBAL,LDSINDNO01,3,1,2,2037,-0.0221478936942836
