source_rule_id,parameter,ordered_parameter_indices,region,technology,semantic_technology_group,canonical_country,year,required_root_present,required_root_value,required_root_state,verified_physical_unit,verified_compiled_unit,root_scenarios_with_actual_change,authority_classification,authority_lineage_class
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOABGD::2023,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOABGD,MIN:COA,BGD,2023,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOABGD::2024,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOABGD,MIN:COA,BGD,2024,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOABGD::2025,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOABGD,MIN:COA,BGD,2025,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOABGD::2026,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOABGD,MIN:COA,BGD,2026,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOABTN::2023,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOABTN,MIN:COA,BTN,2023,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOABTN::2024,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOABTN,MIN:COA,BTN,2024,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOABTN::2025,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOABTN,MIN:COA,BTN,2025,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOABTN::2026,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOABTN,MIN:COA,BTN,2026,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOAIND::2023,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOAIND,MIN:COA,IND,2023,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOAIND::2024,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOAIND,MIN:COA,IND,2024,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOAIND::2025,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOAIND,MIN:COA,IND,2025,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOAIND::2026,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOAIND,MIN:COA,IND,2026,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOALKA::2023,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOALKA,MIN:COA,LKA,2023,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOALKA::2024,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOALKA,MIN:COA,LKA,2024,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOALKA::2025,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOALKA,MIN:COA,LKA,2025,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
PWR_MIN_PIN::TotalAnnualMaxCapacity::GLOBAL::MINCOALKA::2026,TotalAnnualMaxCapacity,"[""REGION"",""TECHNOLOGY"",""YEAR""]",GLOBAL,MINCOALKA,MIN:COA,LKA,2026,true,9999,POSITIVE,native_supply_capacity_unit,native_supply_capacity_unit,A_Calibrated_BAU;B_Optimised_VRE;C_Target_VRE,BENCHMARK_SUPPORTED,ACCEPTED_WS4_BASE_YEAR_PIN_2023_2026
