REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2023,362.7304461748102
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2024,387.3290308545844
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2025,413.59558954642785
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2026,441.64386704302126
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2027,471.59355002919995
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2028,503.57451129063656
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2029,537.7251120303679
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2030,574.1905041853222
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2031,604.9338541950556
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2032,637.3231083317112
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2033,671.446546135877
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2034,707.3966913568231
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2035,745.2720096359743
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2036,785.1752108234377
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2037,827.2140978197391
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2038,871.5058107845045
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2039,918.1666410356238
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2040,967.3315544091881
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2041,1019.1193887482966
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2042,1062.5885740704691
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2043,1107.916722795406
GLOBAL,S1D1,DSPTRNBGDXX,ELCBGDXX03,2044,1155.1802306793847
