REGION,FUEL,YEAR,VALUE
GLOBAL,ELCBGDXX01,2023,1
GLOBAL,ELCBGDXX01,2024,1
GLOBAL,ELCBGDXX01,2025,1
GLOBAL,ELCBGDXX01,2026,1
GLOBAL,ELCBGDXX01,2027,1
GLOBAL,ELCBGDXX01,2028,1
GLOBAL,ELCBGDXX01,2029,1
GLOBAL,ELCBGDXX01,2030,1
GLOBAL,ELCBGDXX01,2031,1
GLOBAL,ELCBGDXX01,2032,1
GLOBAL,ELCBGDXX01,2033,1
GLOBAL,ELCBGDXX01,2034,1
GLOBAL,ELCBGDXX01,2035,1
GLOBAL,ELCBGDXX01,2036,1
GLOBAL,ELCBGDXX01,2037,1
GLOBAL,ELCBGDXX01,2038,1
GLOBAL,ELCBGDXX01,2039,1
GLOBAL,ELCBGDXX01,2040,1
GLOBAL,ELCBGDXX01,2041,1
GLOBAL,ELCBGDXX01,2042,1
GLOBAL,ELCBGDXX01,2043,1
GLOBAL,ELCBGDXX01,2044,1
GLOBAL,ELCBGDXX01,2045,1
GLOBAL,ELCBGDXX01,2046,1
GLOBAL,ELCBGDXX01,2047,1
GLOBAL,ELCBGDXX01,2048,1
GLOBAL,ELCBGDXX01,2049,1
GLOBAL,ELCBGDXX01,2050,1
GLOBAL,ELCINDEA01,2023,1
GLOBAL,ELCINDEA01,2024,1
GLOBAL,ELCINDEA01,2025,1
GLOBAL,ELCINDEA01,2026,1
GLOBAL,ELCINDEA01,2027,1
GLOBAL,ELCINDEA01,2028,1
GLOBAL,ELCINDEA01,2029,1
GLOBAL,ELCINDEA01,2030,1
GLOBAL,ELCINDEA01,2031,1
GLOBAL,ELCINDEA01,2032,1
GLOBAL,ELCINDEA01,2033,1
GLOBAL,ELCINDEA01,2034,1
GLOBAL,ELCINDEA01,2035,1
GLOBAL,ELCINDEA01,2036,1
GLOBAL,ELCINDEA01,2037,1
GLOBAL,ELCINDEA01,2038,1
GLOBAL,ELCINDEA01,2039,1
GLOBAL,ELCINDEA01,2040,1
GLOBAL,ELCINDEA01,2041,1
GLOBAL,ELCINDEA01,2042,1
GLOBAL,ELCINDEA01,2043,1
GLOBAL,ELCINDEA01,2044,1
GLOBAL,ELCINDEA01,2045,1
GLOBAL,ELCINDEA01,2046,1
GLOBAL,ELCINDEA01,2047,1
GLOBAL,ELCINDEA01,2048,1
GLOBAL,ELCINDEA01,2049,1
GLOBAL,ELCINDEA01,2050,1
