timeslice,season,daypart,demand_fraction,yearsplit
S1D1,Winter (Dec-Feb),Night (00-06),0.047848,0.061644
S1D2,Winter (Dec-Feb),Morning (06-12),0.054089,0.061644
S1D3,Winter (Dec-Feb),Afternoon (12-18),0.067033,0.061644
S1D4,Winter (Dec-Feb),Evening (18-24),0.062179,0.061644
S2D1,Pre-monsoon (Mar-May),Night (00-06),0.054673,0.063014
S2D2,Pre-monsoon (Mar-May),Morning (06-12),0.061804,0.063014
S2D3,Pre-monsoon (Mar-May),Afternoon (12-18),0.076595,0.063014
S2D4,Pre-monsoon (Mar-May),Evening (18-24),0.071048,0.063014
S3D1,SW Monsoon (Jun-Sep),Night (00-06),0.070036,0.083562
S3D2,SW Monsoon (Jun-Sep),Morning (06-12),0.079172,0.083562
S3D3,SW Monsoon (Jun-Sep),Afternoon (12-18),0.098119,0.083562
S3D4,SW Monsoon (Jun-Sep),Evening (18-24),0.091013,0.083562
S4D1,Post-monsoon (Oct-Nov),Night (00-06),0.034443,0.041781
S4D2,Post-monsoon (Oct-Nov),Morning (06-12),0.038935,0.041781
S4D3,Post-monsoon (Oct-Nov),Afternoon (12-18),0.048253,0.041781
S4D4,Post-monsoon (Oct-Nov),Evening (18-24),0.044759,0.041781
