timeslice,season,daypart,demand_fraction,yearsplit
S1D1,Winter (Dec-Feb),Night (00-08),0.079226,0.082192
S1D2,Winter (Dec-Feb),Day (08-16),0.100112,0.082192
S1D3,Winter (Dec-Feb),Evening (16-24),0.087978,0.082192
S2D1,Pre-monsoon (Mar-May),Night (00-08),0.100420,0.084018
S2D2,Pre-monsoon (Mar-May),Day (08-16),0.108694,0.084018
S2D3,Pre-monsoon (Mar-May),Evening (16-24),0.105192,0.084018
S3D1,SW Monsoon (Jun-Sep),Night (00-08),0.091611,0.111416
S3D2,SW Monsoon (Jun-Sep),Day (08-16),0.096811,0.111416
S3D3,SW Monsoon (Jun-Sep),Evening (16-24),0.096370,0.111416
S4D1,Post-monsoon (Oct-Nov),Night (00-08),0.041520,0.055708
S4D2,Post-monsoon (Oct-Nov),Day (08-16),0.047580,0.055708
S4D3,Post-monsoon (Oct-Nov),Evening (16-24),0.044484,0.055708
