timeslice,season,daypart,demand_fraction,yearsplit
S1D1,Winter (Dec-Feb),Night (00-08),0.067420,0.082192
S1D2,Winter (Dec-Feb),Day (08-16),0.076871,0.082192
S1D3,Winter (Dec-Feb),Evening (16-24),0.077624,0.082192
S2D1,Pre-monsoon (Mar-May),Night (00-08),0.100247,0.084018
S2D2,Pre-monsoon (Mar-May),Day (08-16),0.102686,0.084018
S2D3,Pre-monsoon (Mar-May),Evening (16-24),0.107753,0.084018
S3D1,SW Monsoon (Jun-Sep),Night (00-08),0.112814,0.111416
S3D2,SW Monsoon (Jun-Sep),Day (08-16),0.111868,0.111416
S3D3,SW Monsoon (Jun-Sep),Evening (16-24),0.118026,0.111416
S4D1,Post-monsoon (Oct-Nov),Night (00-08),0.039769,0.055708
S4D2,Post-monsoon (Oct-Nov),Day (08-16),0.040835,0.055708
S4D3,Post-monsoon (Oct-Nov),Evening (16-24),0.044089,0.055708
