PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,LDSBGDXX01,60
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,LDSBTNXX01,60
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,LDSINDEA01,60
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,LDSINDNE01,60
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,LDSINDNO01,60
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,LDSINDSO01,60
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,LDSINDWE01,60
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,LDSLKAXX01,60
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,LDSMDVXX01,60
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,LDSNPLXX01,60
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,SDSBGDXX01,30
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,SDSBTNXX01,30
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,SDSINDEA01,30
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,SDSINDNE01,30
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,SDSINDNO01,30
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,SDSINDSO01,30
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,SDSINDWE01,30
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,SDSLKAXX01,30
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,SDSMDVXX01,30
OperationalLifeStorage,C_Target_VRE,GLOBAL,,,,,,,,,,SDSNPLXX01,30
