PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDEA,BIOINDEA,,1,2037,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDEA,BIOINDEA,,1,2038,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDEA,BIOINDEA,,1,2039,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDEA,BIOINDEA,,1,2040,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDEA,BIOINDEA,,1,2041,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDEA,BIOINDEA,,1,2042,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDEA,BIOINDEA,,1,2043,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDEA,BIOINDEA,,1,2044,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDEA,BIOINDEA,,1,2045,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDEA,BIOINDEA,,1,2046,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDEA,BIOINDEA,,1,2047,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDEA,BIOINDEA,,1,2048,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDEA,BIOINDEA,,1,2049,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDEA,BIOINDEA,,1,2050,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2023,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2024,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2025,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2026,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2027,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2028,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2029,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2030,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2031,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2032,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2033,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2034,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2035,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2036,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2037,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2038,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2039,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2040,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2041,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2042,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2043,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2044,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2045,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2046,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2047,,,,,,3.67
InputActivityRatio,B_Opt_TxCap150,GLOBAL,PWRBIOINDNE,BIOINDNE,,1,2048,,,,,,3.67
